name,surname,email,password,user_type
Domenico,Stefani,domenico.stefani@ecommerce.com,password,3
Matteo,Tadiello,matteo.tadiello@ecommerce.com,password,3
Ivan,Martini,ivan.martini@ecommerce.com,password,3
Tiertza,Alesbrook,talesbrook0@addtoany.com,SqXYloR,1
Barbabra,Staves,bstaves1@fastcompany.com,CRZH4C5HwBv,2
Willis,Aisman,waisman2@odnoklassniki.ru,YRszhm,2
Gloria,Gildea,ggildea3@people.com.cn,ktXNacE,1
Avie,Heningam,aheningam4@livejournal.com,ddxV9rv,1
Natassia,Lantuff,nlantuff5@about.me,BsOWpzDT,1
Babb,Pincked,bpincked6@umn.edu,BwvYZsXPDuq4,3
Merissa,Filippozzi,mfilippozzi7@icio.us,7W6w32,1
Estevan,Tidmarsh,etidmarsh8@fc2.com,eaJMJUCxpLAV,1
Malissa,Cowperthwaite,mcowperthwaite9@wp.com,yqzPLv,2
